+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+----------+
|    a-b    |    a-c    |    a-d    |    a-e    |    b-c    |    b-d    |    b-e    |    c-d    |    c-e    |   d-e    |
+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+----------+
|   a1-b1   |   a1-c2   |   a1-d3   |   a1-e3   |   b1-c1   |   b1-d1   |   b1-e1   |   c1-d2   |   c1-e1   |  d1-e3   |
|   a2-b2   |   a2-c2   |   a2-d6   |   a2-e3   |   b2-c1   |   b2-d2   |   b2-e4   |   c2-d2   |   c2-e2   |  d2-e4   |
|   a3-b3   |   a3-c3   |   a3-d10  |   a3-e3   |   b3-c4   |   b3-d3   |   b3-e6   |   c3-d3   |   c3-e3   |  d3-e4   |
|   a4-b3   |   a4-c5   |   a4-d10  |   a4-e4   |   b4-c4   |   b4-d5   |   b4-e9   |   c4-d4   |   c4-e3   |  d4-e5   |
|   a5-b5   |   a5-c6   |   a5-d11  |   a5-e5   |   b5-c4   |   b5-d7   |   b5-e9   |   c5-d4   |   c5-e6   |  d5-e5   |
|   a6-b5   |   a6-c6   |   a6-d11  |   a6-e5   |   b6-c6   |   b6-d8   |   b6-e10  |   c6-d5   |   c6-e7   |  d6-e5   |
|   a7-b8   |   a7-c7   |   a7-d13  |   a7-e6   |   b7-c7   |   b7-d8   |   b7-e10  |   c7-d6   |   c7-e7   |  d7-e7   |
|   a8-b9   |   a8-c8   |   a8-d14  |   a8-e6   |   b8-c8   |   b8-d9   |   b8-e10  |   c8-d7   |   c8-e7   |  d8-e7   |
|   a9-b15  |   a9-c8   |   a9-d14  |   a9-e7   |   b9-c9   |   b9-d10  |   b9-e11  |   c9-d9   |   c9-e8   |  d9-e8   |
|  a10-b15  |   a10-c9  |  a10-d16  |   a10-e7  |  b10-c10  |  b10-d11  |  b10-e12  |  c10-d11  |  c10-e10  | d10-e12  |
|  a11-b16  |   a11-c9  |  a11-d17  |   a11-e8  |  b11-c11  |  b11-d11  |  b11-e12  |  c11-d12  |  c11-e11  | d11-e13  |
|  a12-b16  |   a12-c9  |  a12-d17  |   a12-e9  |  b12-c15  |  b12-d11  |  b12-e13  |  c12-d12  |  c12-e12  | d12-e14  |
|  a13-b20  |   a13-c9  |  a13-d18  |  a13-e10  |  b13-c18  |  b13-d12  |  b13-e15  |  c13-d14  |  c13-e14  | d13-e15  |
|  a14-b20  |  a14-c13  |  a14-d20  |  a14-e11  |  b14-c19  |  b14-d13  |  b14-e15  |  c14-d17  |  c14-e16  | d14-e17  |
|  a15-b22  |  a15-c14  |  a15-d21  |  a15-e12  |  b15-c21  |  b15-d15  |  b15-e17  |  c15-d20  |  c15-e18  | d15-e17  |
|  a16-b29  |  a16-c17  |  a16-d21  |  a16-e13  |  b16-c23  |  b16-d16  |  b16-e18  |  c16-d23  |  c16-e18  | d16-e19  |
|  a17-b30  |  a17-c17  |  a17-d21  |  a17-e13  |  b17-c24  |  b17-d19  |  b17-e19  |  c17-d23  |  c17-e23  | d17-e20  |
|  a18-b30  |  a18-c18  |  a18-d22  |  a18-e17  |  b18-c28  |  b18-d20  |  b18-e23  |  c18-d24  |  c18-e24  | d18-e20  |
|  a19-b32  |  a19-c18  |  a19-d23  |  a19-e19  |  b19-c33  |  b19-d20  |  b19-e24  |  c19-d25  |  c19-e25  | d19-e20  |
|  a20-b34  |  a20-c19  |  a20-d25  |  a20-e19  |  b20-c35  |  b20-d21  |  b20-e24  |  c20-d27  |  c20-e25  | d20-e25  |
|  a21-b36  |  a21-c19  |  a21-d26  |  a21-e19  |  b21-c38  |  b21-d22  |  b21-e24  |  c21-d29  |  c21-e29  | d21-e25  |
|  a22-b36  |  a22-c21  |  a22-d28  |  a22-e20  |  b22-c38  |  b22-d22  |  b22-e25  |  c22-d30  |  c22-e32  | d22-e27  |
|  a23-b38  |  a23-c26  |  a23-d29  |  a23-e22  |  b23-c39  |  b23-d24  |  b23-e26  |  c23-d32  |  c23-e33  | d23-e28  |
|  a24-b39  |  a24-c28  |  a24-d30  |  a24-e22  |  b24-c42  |  b24-d27  |  b24-e26  |  c24-d32  |  c24-e34  | d24-e30  |
|  a25-b39  |  a25-c28  |  a25-d34  |  a25-e26  |  b25-c43  |  b25-d27  |  b25-e26  |  c25-d32  |  c25-e37  | d25-e32  |
|  a26-b42  |  a26-c31  |  a26-d35  |  a26-e26  |  b26-c44  |  b26-d27  |  b26-e27  |  c26-d33  |  c26-e38  | d26-e36  |
|  a27-b42  |  a27-c31  |  a27-d35  |  a27-e26  |  b27-c47  |  b27-d29  |  b27-e27  |  c27-d33  |  c27-e41  | d27-e37  |
|  a28-b43  |  a28-c31  |  a28-d35  |  a28-e28  |  b28-c47  |  b28-d29  |  b28-e27  |  c28-d33  |  c28-e42  | d28-e40  |
