+--------------+---------------+--------------+--------------+--------------+--------------+---------------+--------------+---------------+--------------+
|    a-b-c     |     a-b-d     |    a-b-e     |    a-c-d     |    a-c-e     |    a-d-e     |     b-c-d     |    b-c-e     |     b-d-e     |    c-d-e     |
+--------------+---------------+--------------+--------------+--------------+--------------+---------------+--------------+---------------+--------------+
|  a1-b6-c14   |   a1-b6-d26   |  a1-b6-e21   |  a1-c14-d26  |  a1-c14-e21  |  a1-d26-e21  |   b1-c28-d13  |  b1-c28-e29  |   b1-d13-e18  |   c1-d3-e4   |
|  a1-b6-c56   |   a1-b6-d41   |  a1-b6-e25   |  a1-c14-d41  |  a1-c14-e25  |  a1-d26-e25  |   b1-c28-d45  |  b1-c28-e36  |   b1-d13-e29  |  c1-d3-e31   |
|  a1-b6-c80   |   a1-b6-d59   |  a1-b6-e42   |  a1-c14-d59  |  a1-c14-e42  |  a1-d26-e42  |   b1-c28-d48  |  b1-c28-e52  |   b1-d13-e36  |  c1-d3-e67   |
|  a1-b16-c14  |   a1-b6-d68   |  a1-b6-e51   |  a1-c14-d68  |  a1-c14-e51  |  a1-d26-e51  |   b1-c28-d50  |  b1-c28-e64  |   b1-d13-e52  |  c1-d3-e74   |
|  a1-b16-c29  |   a1-b6-d98   |  a1-b6-e55   |  a1-c14-d98  |  a1-c14-e55  |  a1-d26-e75  |   b1-c28-d65  |  b1-c28-e68  |   b1-d13-e54  |  c1-d27-e4   |
|  a1-b16-c32  |   a1-b16-d26  |  a1-b6-e75   |  a1-c29-d26  |  a1-c14-e75  |  a1-d26-e86  |   b1-c28-d75  |  b1-c30-e18  |   b1-d13-e64  |  c1-d27-e31  |
|  a1-b16-c50  |   a1-b16-d41  |  a1-b16-e21  |  a1-c32-d26  |  a1-c14-e86  |  a1-d26-e92  |  b1-c28-d100  |  b1-c30-e20  |   b1-d13-e68  |  c1-d27-e40  |
|  a1-b16-c55  |   a1-b16-d59  |  a1-b16-e25  |  a1-c50-d26  |  a1-c14-e92  |  a1-d26-e94  |   b1-c30-d13  |  b1-c30-e29  |   b1-d45-e20  |  c1-d27-e67  |
|  a1-b16-c56  |   a1-b16-d68  |  a1-b16-e42  |  a1-c55-d26  |  a1-c14-e94  |  a1-d41-e25  |   b1-c30-d45  |  b1-c30-e33  |   b1-d45-e29  |  c1-d27-e74  |
|  a1-b16-c72  |   a1-b16-d98  |  a1-b16-e51  |  a1-c55-d51  |  a1-c29-e21  |  a1-d41-e42  |   b1-c30-d48  |  b1-c30-e36  |   b1-d45-e64  |  c1-d36-e4   |
|  a1-b16-c75  |   a1-b23-d26  |  a1-b16-e55  |  a1-c56-d26  |  a1-c29-e25  |  a1-d41-e51  |   b1-c30-d62  |  b1-c30-e46  |   b1-d45-e68  |  c1-d36-e40  |
|  a1-b16-c80  |   a1-b23-d41  |  a1-b16-e75  |  a1-c56-d51  |  a1-c29-e42  |  a1-d41-e55  |   b1-c30-d73  |  b1-c30-e52  |   b1-d48-e18  |  c1-d36-e67  |
|  a1-b23-c14  |   a1-b36-d26  |  a1-b16-e86  |  a1-c72-d26  |  a1-c29-e51  |  a1-d41-e75  |   b1-c30-d75  |  b1-c30-e54  |   b1-d48-e20  |  c1-d38-e4   |
|  a1-b23-c29  |   a1-b36-d41  |  a1-b16-e92  |  a1-c72-d41  |  a1-c29-e75  |  a1-d41-e92  |  b1-c30-d100  |  b1-c30-e64  |   b1-d48-e29  |  c1-d38-e31  |
|  a1-b23-c32  |   a1-b36-d59  |  a1-b16-e94  |  a1-c75-d26  |  a1-c29-e86  |  a1-d51-e21  |   b1-c31-d13  |  b1-c30-e68  |   b1-d48-e36  |  c1-d38-e40  |
|  a1-b23-c50  |   a1-b36-d68  |  a1-b23-e21  |  a1-c80-d26  |  a1-c29-e92  |  a1-d51-e51  |   b1-c31-d45  |  b1-c31-e20  |   b1-d48-e46  |  c1-d38-e67  |
|  a1-b23-c55  |   a1-b36-d98  |  a1-b23-e25  |  a1-c80-d41  |  a1-c29-e94  |  a1-d51-e75  |   b1-c31-d48  |  b1-c31-e29  |   b1-d48-e52  |  c1-d38-e74  |
|  a1-b23-c72  |   a1-b49-d26  |  a1-b23-e42  |  a1-c80-d51  |  a1-c32-e21  |  a1-d59-e25  |   b1-c31-d50  |  b1-c31-e46  |   b1-d48-e54  |  c1-d76-e4   |
|  a1-b23-c75  |   a1-b49-d51  |  a1-b23-e51  |  a2-c2-d22   |  a1-c32-e51  |  a1-d59-e42  |   b1-c31-d65  |  b1-c31-e64  |   b1-d48-e64  |  c1-d76-e31  |
|  a1-b23-c80  |   a1-b60-d41  |  a1-b23-e75  |  a2-c2-d45   |  a1-c32-e75  |  a1-d59-e55  |   b1-c31-d73  |  b1-c31-e68  |   b1-d48-e68  |  c1-d76-e40  |
|  a1-b36-c14  |   a1-b60-d59  |  a1-b23-e86  |  a2-c2-d48   |  a1-c32-e86  |  a1-d59-e92  |   b1-c31-d75  |  b1-c53-e18  |   b1-d50-e29  |  c1-d76-e67  |
|  a1-b36-c29  |   a1-b60-d68  |  a1-b23-e92  |  a2-c2-d50   |  a1-c32-e92  |  a1-d68-e25  |   b1-c53-d13  |  b1-c53-e20  |   b1-d50-e68  |  c1-d76-e74  |
|  a1-b36-c32  |   a1-b60-d98  |  a1-b23-e94  |  a2-c2-d73   |  a1-c32-e94  |  a1-d68-e42  |   b1-c53-d45  |  b1-c53-e29  |   b1-d62-e18  |  c1-d89-e31  |
|  a1-b36-c50  |   a1-b75-d26  |  a1-b36-e21  |  a2-c2-d86   |  a1-c50-e21  |  a1-d68-e55  |   b1-c53-d48  |  b1-c53-e46  |   b1-d62-e33  |  c1-d89-e67  |
|  a1-b36-c55  |   a1-b75-d41  |  a1-b36-e25  |  a2-c2-d97   |  a1-c50-e42  |  a1-d98-e25  |   b1-c53-d50  |  b1-c53-e52  |   b1-d62-e46  |  c1-d89-e74  |
|  a1-b36-c56  |   a1-b75-d51  |  a1-b36-e42  |  a2-c19-d22  |  a1-c50-e51  |  a1-d98-e42  |   b1-c53-d65  |  b1-c53-e64  |   b1-d62-e52  |  c2-d19-e5   |
|  a1-b36-c72  |   a1-b78-d41  |  a1-b36-e51  |  a2-c19-d45  |  a1-c50-e75  |  a1-d98-e55  |   b1-c53-d73  |  b1-c53-e68  |   b1-d62-e54  |  c2-d19-e15  |
|  a1-b36-c75  |   a1-b78-d59  |  a1-b36-e55  |  a2-c19-d48  |  a1-c50-e86  |  a2-d22-e5   |   b1-c53-d75  |  b1-c82-e18  |   b1-d62-e64  |  c2-d19-e37  |
|  a1-b36-c80  |   a1-b78-d68  |  a1-b36-e75  |  a2-c19-d50  |  a1-c50-e92  |  a2-d22-e15  |  b1-c53-d100  |  b1-c82-e29  |   b1-d65-e29  |  c2-d22-e5   |
|  a1-b49-c55  |   a1-b78-d98  |  a1-b36-e86  |  a2-c19-d86  |  a1-c50-e94  |  a2-d22-e68  |   b1-c82-d13  |  b1-c82-e33  |   b1-d65-e36  |  c2-d22-e15  |
|  a1-b49-c56  |   a1-b80-d26  |  a1-b36-e92  |  a2-c30-d45  |  a1-c55-e21  |  a2-d22-e96  |   b1-c82-d48  |  b1-c82-e46  |   b1-d65-e64  |  c2-d22-e37  |
|  a1-b49-c80  |   a1-b80-d51  |  a1-b36-e94  |  a2-c30-d48  |  a1-c55-e51  |  a2-d37-e5   |   b1-c82-d62  |  b1-c82-e52  |   b1-d65-e68  |  c2-d22-e48  |
|  a1-b60-c14  |   a1-b95-d26  |  a1-b49-e21  |  a2-c30-d73  |  a1-c55-e75  |  a2-d37-e6   |   b1-c82-d75  |  b1-c82-e54  |   b1-d73-e18  |  c2-d22-e68  |
|  a1-b75-c14  |   a1-b95-d51  |  a1-b49-e51  |  a2-c30-d75  |  a1-c55-e94  |  a2-d37-e15  |  b1-c82-d100  |  b1-c82-e64  |   b1-d73-e20  |  c2-d22-e96  |
|  a1-b75-c29  |   a2-b1-d45   |  a1-b49-e75  |  a2-c31-d22  |  a1-c56-e25  |  a2-d37-e20  |   b1-c88-d13  |  b1-c88-e18  |   b1-d73-e29  |  c2-d22-e97  |
|  a1-b75-c32  |   a2-b1-d48   |  a1-b49-e94  |  a2-c31-d45  |  a1-c56-e51  |  a2-d37-e96  |   b1-c88-d45  |  b1-c88-e20  |   b1-d73-e46  |  c2-d43-e15  |
|  a1-b75-c50  |   a2-b1-d50   |  a1-b60-e25  |  a2-c31-d48  |  a1-c56-e55  |  a2-d45-e15  |   b1-c88-d48  |  b1-c88-e29  |   b1-d73-e64  |  c2-d43-e48  |
|  a1-b75-c55  |   a2-b1-d73   |  a1-b60-e42  |  a2-c31-d50  |  a1-c56-e75  |  a2-d45-e20  |   b1-c88-d50  |  b1-c88-e46  |   b1-d73-e68  |  c2-d43-e68  |
|  a1-b75-c56  |   a2-b1-d75   |  a1-b60-e55  |  a2-c31-d73  |  a1-c72-e21  |  a2-d45-e29  |   b1-c88-d73  |  b1-c88-e64  |   b1-d75-e18  |  c2-d43-e97  |
|  a1-b75-c72  |   a2-b7-d45   |  a1-b75-e21  |  a2-c31-d75  |  a1-c72-e25  |  a2-d45-e68  |   b1-c88-d75  |  b1-c88-e68  |   b1-d75-e20  |  c2-d45-e15  |
|  a1-b75-c75  |   a2-b7-d48   |  a1-b75-e25  |  a2-c31-d84  |  a1-c72-e42  |  a2-d45-e96  |   b3-c17-d19  |  b3-c17-e5   |   b1-d75-e29  |  c2-d45-e20  |
|  a1-b75-c80  |   a2-b7-d73   |  a1-b75-e42  |  a2-c31-d86  |  a1-c72-e51  |  a2-d48-e20  |   b3-c17-d21  |  b3-c17-e11  |   b1-d75-e33  |  c2-d45-e29  |
|  a1-b78-c14  |   a2-b7-d75   |  a1-b75-e51  |  a2-c31-d97  |  a1-c72-e75  |  a2-d48-e29  |   b3-c17-d23  |  b3-c17-e37  |   b1-d75-e46  |  c2-d45-e68  |
|  a1-b80-c29  |   a2-b7-d84   |  a1-b75-e75  |  a2-c51-d22  |  a1-c72-e86  |  a2-d48-e46  |   b3-c17-d37  |  b3-c36-e5   |   b1-d75-e52  |  c2-d45-e96  |
|  a1-b80-c50  |   a2-b7-d86   |  a1-b75-e86  |  a2-c51-d37  |  a1-c72-e92  |  a2-d48-e68  |   b3-c17-d53  |  b3-c36-e11  |   b1-d75-e54  |  c2-d45-e97  |
