+-------------------+------------------+-------------------+------------------+-------------------+
|      a-b-c-d      |     a-b-c-e      |      a-b-d-e      |     a-c-d-e      |      b-c-d-e      |
+-------------------+------------------+-------------------+------------------+-------------------+
|   a1-b6-c14-d26   |  a1-b6-c14-e21   |   a1-b6-d26-e21   |  a1-c14-d26-e21  |   b1-c28-d13-e29  |
|   a1-b6-c14-d41   |  a1-b6-c14-e25   |   a1-b6-d26-e25   |  a1-c14-d26-e25  |   b1-c28-d13-e36  |
|   a1-b6-c14-d59   |  a1-b6-c14-e42   |   a1-b6-d26-e42   |  a1-c14-d26-e42  |   b1-c28-d13-e52  |
|   a1-b6-c14-d68   |  a1-b6-c14-e51   |   a1-b6-d26-e51   |  a1-c14-d26-e51  |   b1-c28-d13-e64  |
|   a1-b6-c14-d98   |  a1-b6-c14-e55   |   a1-b6-d26-e75   |  a1-c14-d26-e75  |   b1-c28-d13-e68  |
|   a1-b6-c56-d26   |  a1-b6-c14-e75   |   a1-b6-d41-e25   |  a1-c14-d26-e86  |   b1-c28-d45-e29  |
|   a1-b6-c80-d26   |  a1-b6-c56-e25   |   a1-b6-d41-e42   |  a1-c14-d26-e92  |   b1-c28-d45-e64  |
|   a1-b6-c80-d41   |  a1-b6-c56-e51   |   a1-b6-d41-e51   |  a1-c14-d26-e94  |   b1-c28-d45-e68  |
|   a1-b16-c14-d26  |  a1-b6-c56-e55   |   a1-b6-d41-e55   |  a1-c14-d41-e25  |   b1-c28-d48-e29  |
|   a1-b16-c14-d41  |  a1-b6-c56-e75   |   a1-b6-d41-e75   |  a1-c14-d41-e42  |   b1-c28-d48-e36  |
|   a1-b16-c14-d59  |  a1-b6-c80-e21   |   a1-b6-d59-e25   |  a1-c14-d41-e51  |   b1-c28-d48-e52  |
|   a1-b16-c14-d68  |  a1-b6-c80-e25   |   a1-b6-d59-e42   |  a1-c14-d41-e55  |   b1-c28-d48-e64  |
|   a1-b16-c14-d98  |  a1-b6-c80-e42   |   a1-b6-d59-e55   |  a1-c14-d41-e75  |   b1-c28-d48-e68  |
|   a1-b16-c29-d26  |  a1-b6-c80-e51   |   a1-b6-d68-e25   |  a1-c14-d41-e92  |   b1-c28-d50-e29  |
|   a1-b16-c32-d26  |  a1-b6-c80-e75   |   a1-b6-d68-e42   |  a1-c14-d59-e25  |   b1-c28-d50-e68  |
|   a1-b16-c50-d26  |  a1-b16-c14-e21  |   a1-b6-d68-e55   |  a1-c14-d59-e42  |   b1-c28-d65-e29  |
|   a1-b16-c55-d26  |  a1-b16-c14-e25  |   a1-b6-d98-e25   |  a1-c14-d59-e55  |   b1-c28-d65-e36  |
|   a1-b16-c56-d26  |  a1-b16-c14-e42  |   a1-b6-d98-e42   |  a1-c14-d59-e92  |   b1-c28-d65-e64  |
|   a1-b16-c72-d26  |  a1-b16-c14-e51  |   a1-b6-d98-e55   |  a1-c14-d68-e25  |   b1-c28-d65-e68  |
|   a1-b16-c72-d41  |  a1-b16-c14-e55  |   a1-b16-d26-e21  |  a1-c14-d68-e42  |   b1-c28-d75-e29  |
|   a1-b16-c75-d26  |  a1-b16-c14-e75  |   a1-b16-d26-e25  |  a1-c14-d68-e55  |   b1-c28-d75-e52  |
|   a1-b16-c80-d26  |  a1-b16-c14-e86  |   a1-b16-d26-e42  |  a1-c14-d98-e25  |   b1-c28-d75-e64  |
|   a1-b16-c80-d41  |  a1-b16-c14-e92  |   a1-b16-d26-e51  |  a1-c14-d98-e42  |   b1-c28-d75-e68  |
|   a1-b23-c14-d26  |  a1-b16-c14-e94  |   a1-b16-d26-e75  |  a1-c14-d98-e55  |  b1-c28-d100-e29  |
|   a1-b23-c14-d41  |  a1-b16-c29-e21  |   a1-b16-d26-e86  |  a1-c29-d26-e21  |  b1-c28-d100-e36  |
|   a1-b23-c29-d26  |  a1-b16-c29-e25  |   a1-b16-d26-e92  |  a1-c29-d26-e25  |  b1-c28-d100-e52  |
|   a1-b23-c32-d26  |  a1-b16-c29-e42  |   a1-b16-d26-e94  |  a1-c29-d26-e42  |  b1-c28-d100-e64  |
|   a1-b23-c50-d26  |  a1-b16-c29-e51  |   a1-b16-d41-e25  |  a1-c29-d26-e51  |   b1-c30-d13-e18  |
|   a1-b23-c55-d26  |  a1-b16-c29-e75  |   a1-b16-d41-e42  |  a1-c29-d26-e75  |   b1-c30-d13-e29  |
